outlook,temperature,humidity,windy,play
sunny,hot,high,false,no
sunny,hot,high,true,no
overcast,hot,high,false,yes
rainy,mild,high,false,yes
rainy,cool,normal,false,yes
rainy,cool,normal,true,no
overcast,cool,normal,true,yes
sunny,mild,high,false,no
sunny,cool,normal,false,yes
rainy,mild,normal,false,yes
sunny,mild,normal,true,yes
overcast,mild,high,true,yes
overcast,hot,normal,false,yes
rainy,mild,high,true,no
sunny,hot,normal,false,yes
rainy,mild,normal,true,no
overcast,cool,high,false,yes
rainy,cool,high,true,no
sunny,mild,normal,false,yes
rainy,hot,normal,false,yes
overcast,mild,normal,true,yes
rainy,mild,high,false,no
sunny,cool,high,true,no
overcast,hot,high,true,yes
rainy,cool,normal,false,yes
sunny,hot,normal,true,no
overcast,mild,normal,false,yes
sunny,mild,normal,true,yes
rainy,cool,normal,false,yes
overcast,cool,high,true,yes
rainy,hot,high,false,no
sunny,cool,normal,false,yes
overcast,hot,normal,true,yes
rainy,mild,high,true,no
sunny,mild,normal,false,yes
overcast,cool,normal,false,yes
rainy,hot,normal,true,no
sunny,mild,high,true,no
overcast,mild,normal,true,yes
rainy,cool,high,false,no
sunny,hot,high,false,no
overcast,cool,normal,false,yes
rainy,mild,normal,false,yes
sunny,hot,normal,true,no
rainy,cool,normal,true,no
overcast,mild,high,false,yes
sunny,cool,high,false,yes
rainy,hot,high,true,no
overcast,hot,normal,false,yes
rainy,mild,high,false,no
sunny,mild,normal,false,yes
overcast,cool,normal,true,yes
rainy,cool,high,true,no
sunny,hot,normal,false,yes
overcast,mild,normal,false,yes
rainy,cool,normal,false,yes
overcast,hot,high,true,yes
sunny,mild,high,false,no
rainy,cool,normal,true,no
overcast,cool,normal,false,yes
rainy,mild,normal,false,yes
sunny,hot,high,true,no
overcast,hot,normal,true,yes
rainy,cool,high,false,no
overcast,mild,normal,true,yes
sunny,cool,normal,false,yes
rainy,mild,high,false,no
overcast,cool,normal,true,yes
rainy,hot,normal,true,no
sunny,mild,normal,false,yes
overcast,hot,high,false,yes
rainy,cool,high,true,no
sunny,hot,normal,false,yes
overcast,mild,normal,true,yes
rainy,cool,normal,false,yes
sunny,cool,normal,false,yes
rainy,hot,high,true,no
overcast,hot,normal,true,yes
rainy,mild,high,false,no
sunny,hot,normal,false,yes
overcast,mild,normal,true,yes
rainy,cool,normal,true,no
sunny,mild,high,true,no
overcast,cool,normal,false,yes
rainy,hot,normal,false,yes
sunny,cool,normal,true,yes
overcast,hot,high,true,yes
rainy,cool,high,false,no
overcast,mild,normal,false,yes
sunny,hot,high,false,no
overcast,cool,normal,true,yes
rainy,mild,normal,false,yes
sunny,cool,normal,true,yes
overcast,hot,high,false,yes
rainy,cool,high,true,no
sunny,hot,normal,false,yes
overcast,mild,normal,true,yes
rainy,cool,normal,false,yes